abstain,abstinence
accept,acceptance
accord,accordance
acquaint,acquaintance
acquiesce,acquiescence
adhere,adherence
advance,advance
advise,advice
allow,allowance
ally,alliance
annoy,annoyance
appear,appearance
apply,appliance
assist,assistance
assure,assurance
attend,attendance
avoid,avoidance
circumscribe,circumstance
clear,clearance
cohere,coherence
coincide,coincidence
compete,competence
comply,compliance
confer,conference
confide,confidence
continue,continuance
contrive,contrivance
converge,convergence
correspond,correspondence
dance,dance
defend,defence
defer,deference
defy,defiance
deliver,deliverance
depend,dependence
deter,deterrence
differ,difference
disappear,disappearance
disobey,disobedience
distance,distance
disturb,disturbance
diverge,divergence
dominate,dominance
effervesce,effervescence
emerge,emergence
encumber,encumbrance
endure,endurance
excel,excellence
exist,existence
forbear,forbearance
govern,governance
guide,guidance
happen,happenstance
hinder,hindrance
ignore,ignorance
import,importance
indulge,indulgence
inherit,inheritance
insist,insistence
insure,insurance
interfere,interference
issue,issuance
license,licence
luminesce,luminescence
maintain,maintenance
neglect,negligence
obey,obedience
occur,occurrence
offend,offence
overindulge,overindulgence
perform,performance
persevere,perseverance
persist,persistence
precede,precedence
prefer,preference
prejudge,prejudice
present,presence
pretend,pretence
prevail,prevalence
provide,providence
radiate,radiance
reappear,reappearance
reassure,reassurance
recognise,recognisance
recur,recurrence
refer,reference
rely,reliance
remember,remembrance
reminisce,reminiscence
resemble,resemblance
reside,residence
resist,resistance
resonate,resonance
revere,reverence
rid,riddance
ringfence,ringfence
romance,romance
sequence,sequence
sever,severance
sever,severance
signify,significance
silence,silence
stand,stance
subsist,subsistence
subsist,subsistance
sustain,sustenance
tolerate,tolerance
transfer,transference
underperform,underperformance
utter,utterance