abuse,abuser
adventure,adventurer
align,aligner
amble,ambler
approve,approver
armour,armourer
arrange,arranger
auction,auctioneer
babble,babbler
backpack,backpacker
barnstorm,barnstormer
behold,beholder
betray,betrayer
bewitch,bewitcher
blend,blender
branch,brancher
bridge,bridger
cater,caterer
cheat,cheater
click,clicker
comfort,comforter
conceal,concealer
convey,conveyer
creep,creeper
cruise,cruiser
desert,deserter
diffuse,diffuser
digest,digester
digitise,digitiser
dispense,dispenser
distill,distiller
document,documenter
dodge,dodger
eavesdrop,eavesdropper
entertain,entertainer
extinguish,extinguisher
fillet,filleter
finish,finisher
float,floater
forage,forager
forge,forger
freight,freighter
furnish,furnisher
galvanise,galvaniser
gather,gatherer
ghostwrite,ghostwriter
glaze,glazer
groom,groomer
grope,groper
headscratch,headscratcher
hitch,hitcher
hoard,hoarder
impale,impaler
improve,improver
inhale,inhaler
interlock,interlocker
intrude,intruder
naysay,naysayer
plunge,plunger
preserve,preserver
print,printer
punish,punisher
ramble,rambler
retrieve,retriever
saddle,saddler
scream,screamer
seduce,seducer
sketch,sketcher
snowboard,snowboarder
sparkle,sparkler
squat,squatter
squeak,squeaker
stalk,stalker
storm,stormer
straighten,straightener
strim,strimmer
stripe,stripper
stuff,stuffer
subvert,subvertiser
swindle,swindler
swing,swinger
tackle,tackler
train,trainer
transform,transformer
truck,trucker
underachieve,underachiever
usurp,usurper
wholesale,wholesaler
worship,worshipper