babysit,past_tense=babysat,past_participle=babysat,present_participle=babysitting
backslide,past_tense=backslid,past_participle=backslid,present_participle=backsliding
behold,past_tense=beheld,past_participle=beheld,present_participle=beholding
bend,past_tense=bent,past_participle=bent,present_participle=bending
beset,past_tense=beset,past_participle=beset,present_participle=besetting
bind,past_tense=bound,past_participle=bound,present_participle=binding
bleed,past_tense=bled,past_participle=bled,present_participle=bleeding
breastfeed,past_tense=breastfed,past_participle=breastfed,present_participle=breastfeeding
breed,past_tense=bred,past_participle=bred,present_participle=breeding
bring,past_tense=brought,past_participle=brought,present_participle=bringing
broadcast,past_tense=broadcast,past_participle=broadcast,present_participle=broadcasting
build,past_tense=built,past_participle=built,present_participle=building
buy,past_tense=bought,past_participle=bought,present_participle=buying
cast,past_tense=cast,past_participle=cast,present_participle=casting
catch,past_tense=caught,past_participle=caught,present_participle=catching
cling,past_tense=clung,past_participle=clung,present_participle=clinging
creep,past_tense=crept,past_participle=crept,present_participle=creeping
cross-breed,past_tense=cross-bred,past_participle=cross-bred,present_participle=cross-breeding
cut,past_tense=cut,past_participle=cut,present_participle=cutting
deal,past_tense=dealt,past_participle=dealt,present_participle=dealing
dig,past_tense=dug,past_participle=dug,present_participle=digging
feed,past_tense=fed,past_participle=fed,present_participle=feeding
feel,past_tense=felt,past_participle=felt,present_participle=feeling
fight,past_tense=fought,past_participle=fought,present_participle=fighting
find,past_tense=found,past_participle=found,present_participle=finding
flee,past_tense=fled,past_participle=fled,present_participle=fleeing
foretell,past_tense=foretold,past_participle=foretold,present_participle=foretelling
get,past_tense=got,past_participle=got,present_participle=getting
grind,past_tense=ground,past_participle=ground,present_participle=grinding
have,past_tense=had,past_participle=had,present_participle=having
hear,past_tense=heard,past_participle=heard,present_participle=hearing
hit,past_tense=hit,past_participle=hit,present_participle=hitting
hold,past_tense=held,past_participle=held,present_participle=holding
hurt,past_tense=hurt,past_participle=hurt,present_participle=hurting
interbreed,past_tense=interbred,past_participle=interbred,present_participle=interbreeding
keep,past_tense=kept,past_participle=kept,present_participle=keeping
kneel,past_tense=knelt,past_participle=knelt,present_participle=kneeling
lay,past_tense=laid,past_participle=laid,present_participle=laying
lead,past_tense=led,past_participle=led,present_participle=leading
lend,past_tense=lent,past_participle=lent,present_participle=lending
let,past_tense=let,past_participle=let,present_participle=letting
lose,past_tense=lost,past_participle=lost,present_participle=losing
make,past_tense=made,past_participle=made,present_participle=making
mean,past_tense=meant,past_participle=meant,present_participle=meaning
mishear,past_tense=mishear,past_participle=mishear,present_participle=mishearing
mislead,past_tense=misled,past_participle=misled,present_participle=misleading
misread,past_tense=misread,past_participle=misread,present_participle=misreading
misunderstand,past_tense=misunderstood,past_participle=misunderstood,present_participle=misunderstanding
mud-sling,past_tense=mud-slung,past_participle=mud-slung,present_participle=mud-slinging
naysay,past_tense=naysaid,past_participle=naysaid,present_participle=naysaying
offset,past_tense=offset,past_participle=offset,present_participle=offsetting
outhit,past_tense=outhit,past_participle=outhit,present_participle=outhitting
outsell,past_tense=outsold,past_participle=outsold,present_participle=outselling
overshoot,past_tense=overshot,past_participle=overshot,present_participle=overshooting
oversleep,past_tense=overslept,past_participle=overslept,present_participle=oversleeping
overspend,past_tense=overspent,past_participle=overspent,present_participle=overspending
overthink,past_tense=overthought,past_participle=overthought,present_participle=overthinking
pay,past_tense=paid,past_participle=paid,present_participle=paying
pay,past_tense=payed,past_participle=payed,present_participle=paying
prepay,past_tense=prepaid,past_participle=prepaid,present_participle=prepaying
proofread,past_tense=proofread,past_participle=proofread,present_participle=proofreading
read,past_tense=read,past_participle=read,present_participle=reading
rebuild,past_tense=rebuilt,past_participle=rebuilt,present_participle=rebuilding
rehang,past_tense=rehung,past_participle=rehung,present_participle=rehanging
remake,past_tense=remade,past_participle=remade,present_participle=remaking
repay,past_tense=repaid,past_participle=repaid,present_participle=repaying
reread,past_tense=reread,past_participle=reread,present_participle=rereading
resell,past_tense=resold,past_participle=resold,present_participle=reselling
reset,past_tense=reset,past_participle=reset,present_participle=resetting
retell,past_tense=retold,past_participle=retold,present_participle=retelling
rethink,past_tense=rethought,past_participle=rethought,present_participle=rethinking
say,past_tense=said,past_participle=said,present_participle=saying
seek,past_tense=sought,past_participle=sought,present_participle=seeking
sell,past_tense=sold,past_participle=sold,present_participle=selling
send,past_tense=sent,past_participle=sent,present_participle=sending
set,past_tense=set,past_participle=beset,present_participle=setting
shoot,past_tense=shot,past_participle=shot,present_participle=shooting
shut,past_tense=shut,past_participle=shut,present_participle=shutting
sit,past_tense=sat,past_participle=sat,present_participle=sitting
sleep,past_tense=slept,past_participle=slept,present_participle=sleeping
slide,past_tense=slid,past_participle=slid,present_participle=sliding
sling,past_tense=slung,past_participle=slung,present_participle=slinging
speed,past_tense=sped,past_participle=sped,present_participle=speeding
spellbind,past_tense=spellbound,past_participle=spellbound,present_participle=spellbinding
spend,past_tense=spent,past_participle=spent,present_participle=spending
spin,past_tense=spun,past_participle=spun,present_participle=spinning
split,past_tense=split,past_participle=split,present_participle=splitting
spread,past_tense=spread,past_participle=spread,present_participle=spreading
stand,past_tense=stood,past_participle=stood,present_participle=standing
stick,past_tense=stuck,past_participle=stuck,present_participle=sticking
sting,past_tense=stung,past_participle=stung,present_participle=stinging
strike,past_tense=struck,past_participle=struck,present_participle=striking
string,past_tense=strung,past_participle=strung,present_participle=stringing
sublet,past_tense=sublet,past_participle=sublet,present_participle=subletting
sweep,past_tense=swept,past_participle=swept,present_participle=sweeping
swing,past_tense=swung,past_participle=swung,present_participle=swinging
teach,past_tense=taught,past_participle=taught,present_participle=teaching
tell,past_tense=told,past_participle=told,present_participle=telling
think,past_tense=thought,past_participle=thought,present_participle=thinking
typecast,past_tense=typecast,past_participle=typecast,present_participle=typecasting
undercut,past_tense=undercut,past_participle=undercut,present_participle=undercutting
underpay,past_tense=underpaid,past_participle=underpaid,present_participle=underpaying
undersell,past_tense=undersold,past_participle=undersold,present_participle=underselling
undershoot,past_tense=undershot,past_participle=undershot,present_participle=undershooting
understand,past_tense=understood,past_participle=understood,present_participle=understanding
unwind,past_tense=unwound,past_participle=unwound,present_participle=unwinding
wind,past_tense=wound,past_participle=wound,present_participle=winding
withhold,past_tense=withheld,past_participle=withheld,present_participle=withholding
withstand,past_tense=withstood,past_participle=withstood,present_participle=withstanding
wring,past_tense=wrung,past_participle=wrung,present_participle=wringing