abandon,false,abandon
abase,false,abase
abash,false,abash
abate,false,abate
abbreviate,false,abbreviate
abdicate,false,abdicate
abduct,false,abduct
abet,true,abet
abhor,true,abhor
abide,
abolish,false,abolish
abominate,
adorn,
abort,false,abort
abound,false,abound
abreact,false,abreact
abscond,false,abscond
abseil,false,abseil
absent,false,absent
absolve,false,absolve
absorb,false,absorb
abstain,false,abstain
abstract,false,abstract
abuse,false,abuse
abut,true,abut
accede,false,accede
accelerate,false,accede
accent,true,accent
accentuate,false,accentuate
accept,true,accept
access,false,access
accessorise,false,accessorise
acclaim,true,acclaim
acclimatise,false,acclimatise
accommodate,false,accommodate
accompany,false,accompany
accomplish,false,accomplish
accord,true,accord
account,true,account
accredit,false,accredit
accrete,true,accrete
accrue,true,accrue
accumulate,false,accumulate
accuse,true,accuse
accustom,false,accustom
ace,true,ace
ache,true,ache
achieve,true,achieve
acidify,false,acidify
acknowledge,false,acknowledge
acquaint,true,acquaint
acquiesce,true,acquiesce
acquire,true,acquire
acquit,true,acquit
acronym,false,acronym
act,true,act
action,false,action
activate,false,activate
actualise,false,actualise
actuate,false,actuate
adapt,true,adapt
add,true,add
addict,false,addict
addle,false,addle
address,true,address
adhere,true,adhere
adjoin,true,adjoin
adjourn,true,adjourn
adjudge,true,adjudge
adjudicate,false,adjudicate
adjust,true,adjust
ad-lib,true,ad,lib
administer,false,administer
administrate,false,administrate
admire,true,admire
admit,true,admit
admonish,false,admonish
adopt,true,adopt
adore,true,adore
adulate,false,adulate
advance,true,advance
adventure,false,adventure
advertise,false,advertise
advise,true,advise
advocate,false,advocate
aestheticise,false,aestheticise
aestheticize,false,aestheticize
affect,true,affect
affiliate,false,affiliate
affirm,true,affirm
affix,true,affix
afflict,true,afflict
afford,true,afford
age,true,age
agglomerate,false,agglomerate
aggrandise,false,aggrandise
aggravate,false,aggravate
aggregate,false,aggregate
aggrieve,false,aggrieve
agitate,false,agitate
agonise,false,agonise
agree,true,agree
aid,true,aid
ail,true,ail
aim,true,aim
air,true,air
airbrush,false,air,brush
airlift,false,air,lift
alarm,true,alarm
alchemise,false,alchemise
alchemize,false,alchemize
alert,true,alert
alias,false,alias
alienate,false,alienate
alight,true,alight
align,true,align
allay,true,allay
allege,true,allege
allegorise,false,allegorise
allegorize,false,allegorize
alleviate,false,alleviate
allocate,false,allocate
allot,true,allot
allow,true,allow
allude,true,allude
allure,true,allure
ally,true,ally
alter,false,alter
altercate,false,altercate
alternate,false,alternate
amalgamate,false,amalgamate
amass,true,amass
amaze,true,amaze
amble,false,amble
ambush,false,ambush
ameliorate,false,ameliorate
amend,true,amend
americanise,false,americanise
americanize,false,americanize
amortise,false,amortise
amount,true,amount
amplify,false,amplify
amputate,false,amputate
amuse,true,amuse
anaesthetise,false,anaesthetise
analyse,false,analyse
anathematise,false,anathematise
anchor,false,anchor
anger,false,anger
angle,false,angle
anglicise,false,anglicise
anguish,false,anguish
animate,false,animate
annex,false,annex
annihilate,false,annihilate
annotate,false,annotate
announce,false,announce
annoy,true,annoy
annualise,false,annualise
annul,true,annul
anoint,true,anoint
anonymise,false,anonymise
answer,false,answer
antagonise,false,antagonise
anthropomorphise,anthropomorphise
anticipate,false,anticipate
antiquate,false,antiquate
ape,true,ape
apologise,false,apologise
appal,true,appal
appeal,true,appeal
appear,true,appear
appease,true,appease
append,true,append
applaud,true,applaud
apply,true,apply
appoint,true,appoint
apportion,false,apportion
appreciate,false,appreciate
apprehend,false,apprehend
apprentice,false,apprentice
approach,true,approach
appropriate,false,appropriate
approve,true,approve
approximate,false,approximate
arbitrate,false,arbitrate
arc,true,arc
arch,true,arch
architect,false,architect
archive,false,archive
argue,false,argue
arm,true,arm
armour,false,armour
arouse,true,arouse
arraign,true,arraign
arrange,true,arrange
arrest,true,arrest
arrive,true,arrive
arrogate,false,arrogate
arrow,false,arrow
arse,true,arse
articulate,false,articulate
ascend,true,ascend
ascertain,false,ascertain
ascribe,true,ascribe
ask,true,ask
asphyxiate,false,asphyxiate
aspirate,false,aspirate
aspire,true,aspire
assail,true,assail
assassinate,false,assassinate
assault,true,assault
assemble,false,assemble
assert,true,assert
assess,true,assess
assign,true,assign
assimilate,false,assimilate
assist,true,assist
associate,false,associate
assort,true,assort
assuage,true,assuage
assume,true,assume
assure,true,assure
astonish,false,astonish
astound,true,astound
asymptote,false,asymptote
atomise,false,atomise
atone,true,atone
atrophy,false,atrophy
attach,true,attach
attack,true,attack
attain,true,attain
attempt,true,attempt
attend,true,attend
attenuate,false,attenuate
attest,true,attest
attract,true,attract
attribute,false,attribute
attune,true,attune
auction,false,auction
audit,false,audit
audition,false,audition
augment,true,augment
authenticate,false,authenticate
author,false,author
authorise,false,authorise
autocue,false,auto,cue
autograph,false,auto,graph
automate,false,automate
autoplay,false,auto,play
autopsy,false,autopsy
autotune,false,auto,tune
avail,true,avail
avatar,false,avatar
avenge,true,avenge
average,false,average
avert,true,avert
avoid,true,avoid
avow,true,avow
await,true,await
awaken,false,awaken
award,true,award
axe,true,axe