label,
labour,
lace,
lacerate,
lack,
lacquer,
lactate,
ladder,false,ladder
ladle,
lag,true,lag
lamb,
lambast,
lament,
laminate,
lamp,
lampoon,
lance,
land,
landscape,
languish,
lap,
lapse,
lard,
lark,
laser,false,laser
lash,
last,
latch,
lather,false,lather
laud,
laude,
laugh,
launch,
launder,false,launder
lavish,
layer,false,layer
laze,
leaf,
leak,
lean,
leap,
leapfrog,false,leap,frog
learn,
lease,
leash,
leather,false,leather
leave,
leaven,false,leaven
lecture,
leech,
leg,true,leg
legalise,
legislate,
legitimise,
lengthen,false,lengthen
letter,false,letter
level,
lever,false,lever
leverage,
levitate,
levy,
liaise,
liberalise,
liberate,
license,
lick,
lid,true,lid
lifecast,
lift,true,lift
lighten,false,lighten
like,
liken,false,liken
lilt,
limb,
limit,false,limit
limp,
line,
linger,false,linger
link,
lint,
lip,true,lip
lipread,
liquefy,
liquidate,
lisp,
list,
listen,false,listen
litigate,
litter,false,litter
live,
liven,false,liven
load,
loan,
loath,
loathe,
lob,true,lob
lobby,
localise,
locate,
lock,
lodge,
loft,
log,true,log
loiter,false,loiter
lollop,false,lollop
long,
look,
loom,
loop,
loosen,false,loosen
loot,
lope,
lord,
lounge,
love,
lower,false,lower
lubricate,
luck,
lull,
lumber,false,lumber
luminesce,
lump,
lunch,
lunge,
lurch,
lure,
lurk,
lust,
luxuriate,
lynch,