habituate,
hack,
hackney,
haemorrhage,
haggle,
hail,
halt,
halve,
ham,true,ham
hammer,false,hammer
hamper,false,hamper
hand,
handbag,false,hand,bag
handcraft,
handcuff,
handicap,
handlabel,
handle,
handpick,
hanker,false,hanker
happen,false,happen
harangue,
harass,
harbour,
hardboil,
harden,false,harden
hardwire,
hark,
harm,
harmonise,
harness,
harp,
harrow,
harrumph,
harry,
harvest,
hash,
hashtag,false,hash,tag
hassle,
hasten,false,hasten
hatch,
hate,
haul,
haunt,
haut,
hawk,
haze,
head,
headhunt,
headline,
headquarter,false,head,quarter
headscratch,
heal,
heap,
hearken,false,hearken
hearten,false,hearten
heartwarm,
heartwrench,
heat,
heave,
heckle,
hector,false,hector
hedge,
heed,
heel,
heighten,false,heighten
helicopter,false,helicopter
helm,
help,
hem,true,hem
herald,
herd,
hesitate,
hew,
hibernate,
highlight,
hijack,
hike,
hinder,false,hinder
hinge,
hint,
hire,
hiss,
hitch,
hive,
hoard,
hoax,
hobble,
hobnob,false,hob,nob
hoe,
hog,true,hog
hoist,
holiday,
holler,false,holler
hollow,
home,
homeschool,
hone,
honey,
honk,
honour,false,honour
hood,
hoof,
hook,
hoop,
hoot,
hoover,false,hoover
hop,true,hop
hope,
horn,
horrify,
horse,
hospitalise,
host,
hotdesk,
hound,
house,
houseshare,
hover,false,hover
howl,
huddle,
huff,
hug,true,hug
hulk,
hum,true,hum
humanise,
humble,
humidify,
humiliate,
humour,
hump,
hunch,
hunker,false,hunker
hunt,
hurl,
hurry,
hurtle,
hush,
hustle,
hutch,
hydrate,true,hydrate
hype,
hypersexualise,
hyperventilate,
hyphenate,
hypnotise,
hypothecate,
hypothesise,
hypothicate,